date,long sleeve,culottes,miniskirt,short sleeves,printed,short cardigan,solid colours,trapeze dress,sleeveless,long cardigan,sheath dress,short coat,medium coat,doll dress,long dress,shorts,long coat,tracksuit,drop sleeve,patterned,kimono dress,medium cardigan,shirt dress,maxi,capris,gitana skirt,long duster,yellow,brown,blue,grey,green,black,red,white,orange,violet,acrylic,scuba crepe,tulle,angora,faux leather,georgette,lurex,nice,crepe,satin cotton,silky satin,fur,matte jersey,plisse,velvet,lace,cotton,piquet,plush,bengaline,jacquard,frise,technical,cady,dark jeans,light jeans,ity,plumetis,polyviscous,dainetto,webbing,foam rubber,chanel,marocain,macrame,embossed,heavy jeans,nylon,tencel,paillettes,chambree,chine crepe,muslin cotton or silk,linen,tactel,viscose twill,cloth,mohair,mutton,scottish,milano stitch,devore,hron,ottoman,fluid,flamed,fluid polyviscous,shiny jersey,goose
2016-09-19,60.0,62.0,45.0,44.0,66.0,39.0,13.0,32.0,72.0,55.0,50.0,40.0,20.0,66.0,75.0,45.0,29.0,31.0,47.0,80.0,41.0,0.0,87.8,64.0,45.0,0.0,61.0,83,66,74,18,76,26,62,79,60,58,60,0,69,67,41,33,19,21,38,33,73,52,19,36,60,82,71,31,39,54,81,83,83,27,57,92,76,16,-1.0,0,64,54,66,72,54,56,42,79,50,12,0,36,-1.0,64,47,0,88,62,58,55,40,25,21,62,85,100,-1.0,35,31
2016-09-26,67.0,59.0,55.0,64.0,63.0,33.0,26.0,76.4,62.0,100.0,60.0,53.0,20.0,62.0,84.0,42.0,31.0,36.0,35.0,80.0,59.0,18.0,89.2,66.0,36.0,0.0,41.0,80,61,72,17,75,25,63,77,61,55,59,0,77,68,44,32,21,20,34,32,62,55,37,45,59,79,72,26,40,42,79,78,83,29,69,70,66,11,-1.0,0,61,51,65,69,60,63,25,77,35,18,0,28,-1.0,61,31,0,86,61,45,55,0,24,26,63,81,75,-1.0,0,32
2016-10-03,71.0,50.0,49.0,54.0,62.0,33.0,13.0,50.6,72.0,77.0,56.0,43.0,20.0,76.0,93.0,40.0,41.0,40.0,35.0,70.0,65.0,0.0,88.2,65.0,30.0,0.0,76.0,80,61,84,16,78,26,61,77,58,57,63,18,84,57,53,34,22,19,36,19,41,59,0,44,65,79,73,29,38,28,77,72,76,27,82,85,64,16,-1.0,0,50,57,67,70,49,63,57,76,32,16,32,28,-1.0,58,35,0,84,68,38,54,0,24,18,60,81,39,-1.0,0,37
2016-10-10,74.0,36.0,49.0,53.0,64.0,30.0,13.0,43.6,66.0,90.0,60.0,71.0,15.0,79.0,97.0,39.0,42.0,38.0,47.0,94.0,36.0,0.0,92.0,68.0,28.0,0.0,56.0,80,63,80,17,78,25,61,76,59,58,63,0,83,67,58,35,30,20,38,20,21,63,37,51,66,81,72,30,42,29,78,68,76,23,73,68,68,16,-1.0,0,58,54,66,70,53,59,0,80,47,10,32,43,-1.0,58,20,0,86,62,52,56,0,26,28,66,85,44,-1.0,35,41
2016-10-17,75.0,48.0,53.0,77.0,64.0,36.0,39.0,39.0,59.0,71.0,34.0,57.0,15.0,79.0,85.0,40.0,39.0,39.0,58.0,82.0,55.0,0.0,86.6,71.0,34.0,0.0,55.0,80,64,81,17,78,25,63,78,57,56,65,37,90,59,56,35,28,20,41,70,41,61,36,34,66,80,72,29,40,35,74,57,78,25,72,96,98,16,-1.0,0,59,29,66,70,52,66,24,82,37,19,0,28,-1.0,59,30,0,90,63,49,52,0,22,18,67,84,27,-1.0,0,39
2016-10-24,70.0,49.0,50.0,63.0,64.0,16.0,26.0,37.8,58.0,76.0,54.0,66.0,20.0,98.0,82.0,41.0,43.0,41.0,23.0,70.0,34.0,18.0,88.4,68.0,26.0,0.0,96.0,78,65,69,16,77,28,59,80,57,60,63,0,100,64,66,28,20,20,44,26,31,66,18,49,66,79,71,23,42,32,71,75,78,32,66,65,80,42,-1.0,0,47,62,63,89,60,57,41,76,35,16,32,28,-1.0,58,48,0,88,73,53,58,39,20,10,70,86,51,-1.0,0,40
2016-10-31,60.0,51.0,39.0,44.0,61.0,33.0,26.0,42.4,59.0,77.0,44.0,44.0,30.0,63.0,77.0,36.0,48.0,43.0,58.0,69.0,36.0,0.0,73.8,66.0,23.0,0.0,61.0,76,62,69,16,74,29,59,78,56,57,63,0,77,67,53,29,30,19,41,19,42,67,37,43,67,75,78,25,43,32,75,75,77,27,74,68,81,43,-1.0,0,49,78,66,84,47,67,67,82,35,19,32,22,-1.0,59,57,0,87,79,46,55,0,19,13,73,83,60,-1.0,0,41
2016-11-07,69.0,56.0,65.0,79.0,69.0,29.0,25.0,28.6,61.0,63.0,53.0,50.0,44.0,68.0,87.0,36.0,53.0,40.0,79.0,83.0,33.0,0.0,76.0,64.0,23.0,0.0,54.0,74,57,67,16,75,33,57,82,55,57,63,0,69,63,49,26,26,18,38,31,20,73,0,34,65,72,77,26,46,48,80,60,74,32,59,87,71,46,-1.0,0,60,37,65,76,51,58,63,79,37,18,61,20,-1.0,60,61,0,81,77,41,56,38,26,17,67,77,23,-1.0,100,42
2016-11-14,70.0,54.0,41.0,42.0,67.0,42.0,26.0,34.2,58.0,55.0,52.0,78.0,30.0,46.0,91.0,37.0,49.0,54.0,46.0,91.0,32.0,18.0,78.6,69.0,23.0,0.0,61.0,74,61,74,17,76,39,58,82,59,55,65,18,77,66,58,25,29,18,36,38,61,76,18,44,70,76,77,29,53,41,78,70,78,25,80,83,88,31,-1.0,0,58,47,70,68,53,57,40,83,45,19,31,21,-1.0,62,47,0,92,73,43,56,38,20,25,69,82,65,-1.0,0,46
2016-11-21,79.0,39.0,54.0,47.0,66.0,16.0,0.0,48.6,73.0,84.0,56.0,94.0,65.0,61.0,87.0,39.0,67.0,59.0,23.0,100.0,50.0,35.0,80.8,72.0,30.0,0.0,75.0,74,69,74,18,86,86,58,81,60,57,63,18,76,64,75,32,36,19,37,31,40,87,36,47,79,80,80,30,61,38,88,69,69,23,84,73,71,41,-1.0,0,60,63,74,78,52,86,64,82,41,20,31,21,-1.0,59,44,49,90,76,44,56,38,35,16,68,75,38,-1.0,0,57
2016-11-28,85.0,46.0,57.0,53.0,71.0,25.0,12.0,52.2,70.0,83.0,82.0,85.0,39.0,82.0,88.0,40.0,62.0,58.0,44.0,91.0,51.0,17.0,83.4,68.0,23.0,0.0,82.0,72,61,76,20,74,31,60,79,58,56,68,0,74,73,67,29,33,19,34,49,39,90,0,63,78,80,84,22,72,40,85,63,78,21,77,77,74,20,-1.0,0,56,50,75,75,57,88,31,84,44,29,30,20,-1.0,60,41,0,89,68,48,60,0,27,14,71,80,33,-1.0,0,49
2016-12-05,84.0,52.0,47.0,62.0,72.0,45.0,12.0,26.0,63.0,90.0,53.0,65.0,84.0,74.0,85.0,40.0,64.0,57.0,21.0,82.0,44.0,33.0,86.4,67.0,26.0,0.0,52.0,73,63,75,18,75,27,60,86,57,58,69,17,67,82,63,26,33,19,34,24,48,90,0,42,84,76,84,22,71,56,90,69,79,24,77,77,76,34,-1.0,0,52,58,79,72,51,83,38,81,41,26,0,20,-1.0,58,57,0,88,74,42,53,0,19,18,71,84,44,-1.0,0,51
2016-12-12,76.0,48.0,53.0,56.0,68.0,28.0,12.0,43.0,63.0,81.0,47.0,88.0,34.0,58.0,76.0,40.0,65.0,56.0,34.0,79.0,47.0,51.0,80.6,65.0,22.0,0.0,64.0,71,62,76,18,77,26,57,84,58,59,71,18,64,69,64,31,38,20,35,18,49,90,17,52,89,73,75,26,70,27,89,66,73,22,51,81,71,30,-1.0,0,43,76,83,69,51,72,16,80,33,28,30,13,-1.0,54,69,0,87,64,44,57,37,20,15,64,78,37,-1.0,0,55
2016-12-19,65.0,47.0,41.0,43.0,60.0,17.0,26.0,36.4,58.0,46.0,44.0,83.0,36.0,53.0,70.0,37.0,54.0,49.0,47.0,63.0,26.0,36.0,66.6,69.0,24.0,0.0,36.0,74,65,79,16,80,27,60,86,58,54,78,0,64,65,55,31,26,20,34,39,21,80,0,44,100,69,71,23,64,43,67,68,68,20,55,64,70,43,-1.0,0,40,32,85,76,51,55,42,78,37,28,32,43,-1.0,50,51,0,81,77,49,53,0,12,17,56,78,48,-1.0,35,58
2016-12-26,61.0,47.0,54.0,52.0,54.0,47.0,13.0,14.6,62.0,66.0,59.0,64.0,47.0,67.0,74.0,39.0,53.0,51.0,12.0,68.0,32.0,18.0,76.8,71.0,22.0,0.0,47.0,74,62,80,18,72,28,57,85,60,58,72,0,62,73,61,34,19,19,36,33,75,84,19,48,83,79,80,21,54,48,78,76,59,17,97,61,78,39,-1.0,0,41,58,80,79,50,68,9,75,58,32,99,44,-1.0,58,50,0,84,70,55,54,0,27,20,77,67,74,-1.0,0,55
2017-01-02,59.0,48.0,44.0,59.0,62.0,58.0,51.0,44.8,60.0,65.0,62.0,67.0,30.0,58.0,73.0,36.0,56.0,38.0,46.0,94.0,34.0,18.0,65.2,71.0,32.0,0.0,45.0,74,72,79,19,76,26,57,80,60,55,69,0,63,72,55,28,28,18,34,12,20,71,71,47,61,75,85,21,44,14,80,71,78,19,73,74,91,46,-1.0,91,41,70,69,73,50,60,40,81,41,17,31,48,-1.0,64,28,0,86,64,50,61,0,27,22,78,76,38,-1.0,0,45
2017-01-09,54.0,35.0,43.0,38.0,63.0,49.0,24.0,26.0,51.0,53.0,52.0,64.0,42.0,53.0,86.0,35.0,51.0,39.0,11.0,61.0,32.0,0.0,69.6,67.0,26.0,0.0,52.0,75,68,78,17,84,25,56,79,58,58,66,0,71,61,53,28,22,18,35,35,57,67,0,36,61,78,72,33,39,61,79,69,87,27,61,59,83,24,-1.0,0,59,51,63,62,56,77,60,78,55,15,29,19,-1.0,63,44,0,81,62,45,58,0,36,9,76,81,32,-1.0,32,42
2017-01-16,53.0,56.0,52.0,87.0,66.0,24.0,47.0,31.6,60.0,75.0,58.0,46.0,32.0,56.0,83.0,38.0,42.0,42.0,32.0,88.0,37.0,0.0,68.6,67.0,37.0,0.0,56.0,77,64,81,18,87,26,55,86,60,59,69,17,73,65,56,28,20,18,38,47,38,62,17,45,60,78,69,32,41,19,81,69,81,27,60,83,79,29,-1.0,0,58,53,63,75,58,79,23,78,42,16,0,32,-1.0,61,54,0,81,59,52,61,36,34,13,74,79,72,-1.0,0,40
2017-01-23,54.0,45.0,46.0,61.0,62.0,27.0,48.0,26.0,68.0,65.0,65.0,50.0,66.0,52.0,82.0,39.0,39.0,38.0,43.0,81.0,38.0,16.0,75.8,68.0,33.0,0.0,42.0,77,66,78,19,83,25,56,83,56,51,69,0,72,74,41,29,22,18,47,30,9,61,51,40,62,79,70,24,43,29,74,72,86,24,54,76,72,44,-1.0,0,57,64,65,75,58,59,38,78,49,18,0,52,-1.0,62,66,0,82,63,55,69,0,27,24,76,84,43,-1.0,0,37
2017-01-30,55.0,44.0,42.0,52.0,67.0,44.0,47.0,39.6,57.0,49.0,63.0,45.0,32.0,74.0,83.0,39.0,36.0,35.0,42.0,71.0,40.0,0.0,75.0,68.0,31.0,0.0,46.0,78,62,75,21,90,25,57,79,58,55,69,0,80,68,41,27,26,20,95,77,38,59,0,54,69,80,73,35,41,33,74,69,83,25,70,83,79,24,-1.0,0,45,71,66,76,51,72,23,78,42,15,29,26,-1.0,66,47,0,84,59,50,63,36,24,20,76,83,36,-1.0,32,34
2017-02-06,50.0,49.0,49.0,47.0,67.0,29.0,0.0,31.0,60.0,49.0,59.0,57.0,27.0,58.0,82.0,39.0,33.0,35.0,31.0,86.0,34.0,0.0,76.0,66.0,35.0,0.0,41.0,80,61,73,27,76,26,58,81,57,58,65,17,79,65,44,31,25,19,54,35,37,56,50,51,73,78,72,34,40,13,68,67,82,21,65,75,95,38,-1.0,86,50,44,70,71,52,77,22,79,45,15,0,32,-1.0,61,46,46,81,65,49,61,35,29,18,71,83,68,-1.0,0,34
2017-02-13,48.0,57.0,53.0,59.0,64.0,38.0,47.0,46.8,54.0,46.0,73.0,33.0,14.0,48.0,74.0,42.0,34.0,34.0,63.0,85.0,38.0,16.0,74.0,65.0,30.0,0.0,55.0,78,60,72,27,75,25,58,80,54,64,63,17,72,57,41,31,25,19,43,40,28,55,17,38,66,77,72,31,40,25,59,64,77,23,66,67,84,24,-1.0,0,53,54,65,67,57,63,22,78,46,15,0,45,-1.0,64,55,0,85,63,51,60,0,24,15,73,85,49,-1.0,0,34
2017-02-20,48.0,55.0,38.0,58.0,64.0,45.0,24.0,57.0,63.0,56.0,89.0,48.0,18.0,59.0,78.0,44.0,26.0,36.0,42.0,86.0,40.0,16.0,74.0,73.0,45.0,0.0,32.0,79,62,74,23,76,26,57,79,56,70,71,0,72,56,48,30,27,19,43,41,56,53,33,52,57,81,79,28,41,16,69,62,85,21,50,78,63,29,-1.0,0,53,85,64,73,58,71,45,81,48,12,0,6,-1.0,65,36,46,83,56,54,63,0,35,24,75,84,53,-1.0,63,33
2017-02-27,53.0,52.0,40.0,76.0,69.0,41.0,23.0,23.2,68.0,60.0,73.0,45.0,23.0,53.0,80.0,47.0,27.0,36.0,10.0,80.0,41.0,16.0,76.8,72.0,42.0,0.0,96.0,80,63,75,20,76,26,60,82,57,67,69,0,80,50,40,32,21,18,52,46,46,52,65,58,56,81,75,30,38,19,76,70,89,32,55,81,89,33,-1.0,84,65,64,63,70,65,62,58,76,46,13,0,57,-1.0,67,21,0,81,43,45,64,0,26,24,71,87,56,-1.0,0,32
2017-03-06,50.0,52.0,37.0,68.0,72.0,32.0,34.0,42.4,67.0,54.0,66.0,42.0,45.0,50.0,85.0,48.0,29.0,33.0,41.0,82.0,38.0,31.0,84.6,74.0,47.0,0.0,76.0,80,59,73,19,73,24,56,80,58,57,71,0,75,52,44,27,20,21,37,34,9,53,80,39,56,79,74,31,38,34,74,70,82,29,64,78,90,51,-1.0,0,66,59,68,68,61,72,36,75,40,16,0,43,-1.0,67,52,44,85,45,51,65,34,26,18,84,85,41,-1.0,30,30
2017-03-13,47.0,56.0,50.0,46.0,67.0,23.0,57.0,41.6,65.0,56.0,74.0,37.0,40.0,46.0,75.0,49.0,27.0,32.0,92.0,89.0,46.0,0.0,77.0,71.0,47.0,0.0,67.0,77,58,73,18,77,23,55,78,55,60,69,16,82,47,42,23,24,19,36,34,27,48,32,43,56,77,74,25,39,18,70,61,82,22,61,86,76,14,-1.0,0,68,65,69,70,65,69,36,75,43,14,0,31,-1.0,68,46,44,82,54,51,72,0,29,27,80,86,48,-1.0,30,33
2017-03-20,49.0,53.0,47.0,65.0,69.0,33.0,0.0,52.8,78.0,58.0,52.0,36.0,14.0,40.0,78.0,50.0,29.0,34.0,11.0,73.0,46.0,16.0,78.8,74.0,43.0,0.0,55.0,82,61,75,18,76,24,64,81,58,63,70,0,84,57,40,28,23,19,38,52,28,46,66,56,53,75,76,35,36,54,61,66,83,22,63,63,78,33,-1.0,0,47,63,64,69,61,78,37,81,45,14,0,19,-1.0,72,41,0,88,54,51,58,0,26,29,69,84,57,-1.0,0,30
2017-03-27,46.0,57.0,63.0,57.0,69.0,42.0,36.0,33.4,72.0,51.0,82.0,24.0,33.0,60.0,77.0,54.0,24.0,34.0,54.0,83.0,59.0,0.0,80.4,73.0,54.0,0.0,37.0,85,60,74,17,74,25,58,80,55,63,71,17,74,56,37,28,22,19,37,41,28,44,17,52,53,79,76,39,40,32,67,67,85,30,57,77,79,34,-1.0,0,54,46,66,62,64,59,38,77,60,15,0,45,-1.0,73,44,47,85,40,48,64,0,21,27,71,89,54,-1.0,0,28
2017-04-03,48.0,54.0,36.0,74.0,71.0,48.0,83.0,54.2,74.0,41.0,91.0,43.0,32.0,56.0,78.0,54.0,24.0,33.0,53.0,71.0,52.0,32.0,88.8,77.0,59.0,0.0,74.0,85,57,79,17,75,24,59,81,55,61,71,0,76,56,44,30,23,19,34,35,56,42,33,54,53,79,78,26,43,57,65,56,81,22,54,75,92,43,-1.0,0,57,67,64,69,69,77,52,80,57,14,0,45,-1.0,75,45,0,85,44,52,59,0,16,18,66,86,53,-1.0,31,26
2017-04-10,48.0,67.0,51.0,80.0,68.0,53.0,37.0,39.6,78.0,55.0,78.0,35.0,33.0,54.0,78.0,61.0,23.0,32.0,33.0,91.0,52.0,33.0,92.0,82.0,62.0,0.0,48.0,88,60,81,17,76,25,61,84,56,63,71,0,81,54,38,31,19,19,37,12,58,44,17,66,53,78,78,33,42,33,71,60,79,23,84,78,83,45,-1.0,0,64,74,64,69,68,65,15,77,57,19,0,20,-1.0,76,31,0,88,40,59,59,0,21,15,65,87,66,-1.0,0,28
2017-04-17,47.0,61.0,44.0,60.0,67.0,63.0,35.0,77.6,83.0,56.0,74.0,34.0,32.0,55.0,69.0,57.0,18.0,31.0,53.0,76.0,52.0,32.0,80.0,79.0,65.0,0.0,32.0,84,61,79,17,78,24,58,82,56,63,71,51,76,62,36,27,27,18,36,47,47,43,85,44,54,86,77,33,40,36,76,57,79,25,53,75,70,10,-1.0,0,62,64,64,69,65,69,15,78,58,11,0,26,-1.0,77,69,0,88,54,56,70,36,26,31,66,89,54,-1.0,32,29
2017-04-24,45.0,64.0,47.0,56.0,71.0,66.0,71.0,56.4,78.0,60.0,95.0,32.0,46.0,63.0,78.0,58.0,24.0,33.0,32.0,78.0,61.0,16.0,89.4,76.0,59.0,0.0,83.0,85,59,79,18,75,25,58,81,58,60,74,34,86,58,36,32,20,19,36,47,28,42,50,66,51,84,77,43,40,48,61,65,80,23,51,74,75,10,-1.0,0,60,65,64,70,67,55,37,80,61,10,0,26,-1.0,77,49,46,84,38,50,64,35,29,22,68,86,75,-1.0,0,25
2017-05-01,47.0,56.0,45.0,71.0,70.0,75.0,35.0,59.6,80.0,58.0,81.0,28.0,42.0,54.0,82.0,59.0,24.0,36.0,53.0,85.0,61.0,16.0,91.0,77.0,61.0,0.0,37.0,85,61,80,17,80,25,58,86,57,60,72,0,78,52,35,27,21,21,42,35,28,44,34,56,51,81,79,35,41,42,60,64,78,24,59,75,83,10,-1.0,0,71,51,64,72,65,60,45,82,77,17,29,39,-1.0,81,50,0,83,45,49,66,0,32,19,64,83,32,-1.0,0,28
2017-05-08,47.0,66.0,44.0,65.0,69.0,57.0,95.0,66.6,78.0,41.0,79.0,38.0,28.0,55.0,75.0,60.0,22.0,28.0,64.0,71.0,70.0,0.0,83.6,78.0,61.0,0.0,42.0,86,60,81,17,76,27,57,85,56,55,71,17,80,54,31,30,28,19,40,35,28,41,82,59,49,75,77,36,38,35,75,59,80,21,63,86,77,29,-1.0,0,48,58,65,70,69,79,22,77,60,13,0,38,-1.0,75,45,0,84,46,52,58,70,27,17,67,84,39,-1.0,0,26
2017-05-15,43.0,69.0,48.0,80.0,67.0,63.0,38.0,50.8,76.0,43.0,57.0,31.0,15.0,56.0,70.0,70.0,17.0,34.0,56.0,82.0,65.0,0.0,85.8,76.0,76.0,0.0,34.0,87,57,87,17,78,25,58,81,56,53,71,0,77,48,34,27,25,19,35,31,70,45,35,63,49,76,79,37,39,48,75,68,79,24,46,56,87,26,-1.0,0,63,51,63,72,68,66,32,73,69,14,0,41,-1.0,76,51,0,84,36,49,61,0,24,19,60,81,23,-1.0,0,25
2017-05-22,41.0,89.0,47.0,68.0,66.0,100.0,25.0,62.6,74.0,56.0,60.0,32.0,45.0,56.0,72.0,76.0,20.0,29.0,11.0,76.0,72.0,0.0,90.0,81.0,59.0,0.0,55.0,82,57,81,16,76,24,57,83,53,51,72,37,70,53,36,33,19,18,35,38,51,40,18,70,50,77,79,36,38,63,59,57,79,21,64,72,70,16,-1.0,0,56,50,60,64,72,67,41,79,72,10,31,28,-1.0,82,63,0,86,40,52,67,77,21,6,62,82,50,-1.0,0,25
2017-05-29,43.0,83.0,56.0,72.0,60.0,65.0,77.0,45.0,87.0,41.0,66.0,22.0,30.0,53.0,75.0,82.0,18.0,29.0,57.0,80.0,58.0,0.0,87.2,83.0,70.0,0.0,40.0,85,58,79,16,75,24,59,82,57,50,69,18,65,52,36,29,21,18,36,50,20,39,18,67,48,75,80,34,38,21,60,67,77,26,65,74,76,15,-1.0,0,70,65,60,80,63,64,48,80,66,14,31,48,-1.0,83,42,49,85,37,56,61,0,24,20,64,79,42,-1.0,34,27
2017-06-05,45.0,71.0,51.0,74.0,61.0,79.0,0.0,56.0,85.0,58.0,69.0,27.0,10.0,48.0,71.0,75.0,23.0,31.0,45.0,84.0,82.0,17.0,90.0,78.0,82.0,0.0,49.0,84,57,77,15,76,26,58,80,63,61,74,0,68,58,32,30,24,18,36,25,10,40,18,51,48,78,79,39,39,54,64,64,78,19,58,62,74,5,-1.0,0,56,65,62,65,66,52,47,78,61,17,0,34,-1.0,79,40,0,85,46,55,73,0,18,12,63,82,38,-1.0,33,25
2017-06-12,44.0,70.0,33.0,60.0,64.0,41.0,63.0,53.0,90.0,41.0,59.0,19.0,15.0,55.0,71.0,82.0,17.0,31.0,68.0,76.0,71.0,0.0,89.4,80.0,66.0,0.0,44.0,88,59,77,15,76,27,57,81,71,65,76,0,65,57,25,32,17,19,36,43,50,39,35,66,49,72,82,40,38,24,65,61,78,25,55,78,76,36,-1.0,0,64,72,63,70,65,64,0,77,67,12,31,55,-1.0,84,40,0,90,42,60,57,0,31,23,68,82,53,-1.0,0,25
2017-06-19,42.0,87.0,37.0,75.0,63.0,40.0,12.0,76.6,92.0,27.0,78.0,26.0,10.0,60.0,72.0,90.0,14.0,27.0,77.0,73.0,69.0,17.0,91.8,88.0,78.0,0.0,33.0,88,60,76,15,75,25,58,83,62,60,73,0,65,51,28,31,16,19,35,30,10,40,17,72,47,72,80,30,42,56,65,54,78,21,60,66,63,15,-1.0,0,49,43,64,72,70,69,23,75,64,15,0,33,-1.0,90,53,0,88,35,63,55,0,36,14,56,81,41,-1.0,0,24
2017-06-26,42.0,77.0,52.0,57.0,62.0,65.0,77.0,56.6,76.0,41.0,50.0,23.0,30.0,53.0,67.0,77.0,17.0,31.0,23.0,89.0,66.0,0.0,81.0,81.0,70.0,0.0,40.0,89,66,81,16,75,25,63,86,64,58,76,0,65,58,26,33,19,20,37,51,31,43,55,75,51,73,79,46,43,42,80,60,79,18,61,68,84,37,-1.0,0,56,67,63,71,65,77,25,80,80,18,64,49,-1.0,82,52,51,94,36,59,58,0,23,18,56,81,55,-1.0,34,25
2017-07-03,42.0,87.0,52.0,79.0,66.0,55.0,52.0,56.6,90.0,39.0,66.0,25.0,51.0,52.0,65.0,79.0,18.0,31.0,46.0,68.0,59.0,0.0,82.8,79.0,68.0,0.0,45.0,88,63,79,16,78,25,59,82,59,57,74,19,62,57,33,33,28,20,38,13,31,40,55,73,54,72,80,32,44,63,66,55,74,21,60,55,71,37,-1.0,0,72,63,62,74,74,68,8,74,75,11,64,21,-1.0,85,39,51,87,37,57,57,0,36,32,65,80,59,-1.0,0,26
2017-07-10,47.0,85.0,43.0,69.0,65.0,52.0,26.0,53.0,87.0,36.0,65.0,28.0,60.0,55.0,70.0,80.0,19.0,32.0,23.0,73.0,53.0,0.0,91.4,81.0,69.0,0.0,60.0,88,61,82,16,79,26,59,85,57,59,79,18,76,52,36,26,24,22,40,63,61,43,36,58,68,75,77,31,43,45,59,54,78,23,45,72,75,10,-1.0,93,62,59,59,66,64,74,65,77,59,21,0,21,-1.0,83,47,50,90,48,48,76,0,33,21,64,83,54,-1.0,34,27
2017-07-17,44.0,78.0,100.0,77.0,68.0,55.0,64.0,49.4,84.0,51.0,90.0,25.0,25.0,49.0,71.0,74.0,17.0,30.0,35.0,84.0,55.0,0.0,81.0,82.0,63.0,0.0,65.0,89,60,82,16,75,25,58,84,57,57,83,0,71,53,30,27,19,21,37,63,40,41,18,65,59,73,76,27,42,55,65,59,81,22,42,60,86,21,-1.0,92,48,78,59,70,79,66,24,76,66,19,0,14,-1.0,81,49,0,90,40,52,70,0,27,16,64,86,54,-1.0,0,25
2017-07-24,45.0,84.0,52.0,65.0,66.0,51.0,100.0,41.6,84.0,42.0,67.0,31.0,24.0,57.0,68.0,68.0,18.0,32.0,34.0,91.0,47.0,0.0,83.6,79.0,56.0,0.0,20.0,91,59,83,17,80,25,60,84,61,63,81,0,70,51,32,31,14,21,40,44,40,44,36,67,63,75,77,35,43,38,73,59,81,25,71,70,83,21,-1.0,0,65,47,59,72,65,73,32,75,47,16,93,55,-1.0,81,34,0,87,44,53,57,0,37,6,83,81,38,-1.0,0,26
2017-07-31,49.0,72.0,39.0,45.0,68.0,43.0,24.0,32.6,73.0,62.0,68.0,26.0,38.0,40.0,65.0,66.0,23.0,38.0,11.0,80.0,49.0,0.0,85.2,71.0,54.0,0.0,28.0,92,60,85,17,79,25,61,86,58,58,80,35,66,52,42,31,28,21,37,12,39,44,17,56,59,77,76,30,45,47,70,61,79,15,81,85,66,10,-1.0,0,65,64,60,70,79,60,23,77,71,11,0,27,-1.0,85,37,0,89,41,50,61,37,28,22,69,81,26,-1.0,0,27
2017-08-07,54.0,64.0,43.0,67.0,62.0,31.0,48.0,34.8,67.0,62.0,85.0,26.0,9.0,61.0,73.0,64.0,23.0,37.0,87.0,82.0,53.0,17.0,80.2,72.0,58.0,0.0,33.0,93,59,80,17,76,25,58,85,56,58,77,17,70,50,42,35,24,20,40,48,19,44,86,61,56,76,73,34,46,46,64,57,81,18,66,70,84,10,-1.0,0,70,67,62,64,72,60,8,75,64,14,0,26,-1.0,79,33,0,84,46,46,61,36,28,20,79,82,40,-1.0,32,27
2017-08-14,52.0,60.0,57.0,54.0,65.0,63.0,12.0,28.2,62.0,58.0,62.0,38.0,19.0,50.0,81.0,60.0,24.0,38.0,67.0,82.0,66.0,0.0,83.6,72.0,52.0,0.0,49.0,94,60,81,17,75,25,59,92,53,62,72,35,66,47,46,31,22,21,38,18,39,44,18,66,55,74,75,33,44,50,58,56,81,25,65,76,67,10,-1.0,0,69,53,60,62,75,65,31,79,46,15,0,27,-1.0,74,60,0,86,38,54,61,0,24,29,73,82,67,-1.0,33,27
2017-08-21,54.0,92.0,49.0,59.0,62.0,56.0,37.0,61.0,67.0,60.0,74.0,34.0,19.0,68.0,69.0,56.0,23.0,38.0,66.0,71.0,50.0,0.0,78.6,71.0,53.0,0.0,53.0,93,60,82,17,73,25,60,84,56,62,70,0,68,47,40,31,21,21,36,42,29,44,0,56,51,75,75,27,42,33,57,56,85,23,69,76,77,45,-1.0,0,52,70,65,62,63,57,23,82,56,12,0,27,-1.0,70,39,0,86,42,55,60,37,23,17,63,81,81,-1.0,0,27
2017-08-28,55.0,54.0,37.0,73.0,66.0,49.0,24.0,32.4,60.0,66.0,75.0,40.0,19.0,45.0,71.0,55.0,31.0,39.0,44.0,72.0,54.0,0.0,85.0,71.0,48.0,0.0,57.0,95,60,83,16,77,24,59,83,59,59,71,0,72,54,43,28,25,19,38,24,39,50,52,54,56,73,75,42,40,33,69,62,81,26,52,67,78,20,-1.0,0,57,73,69,61,65,67,31,74,61,11,0,34,-1.0,70,41,48,88,48,65,62,37,24,23,70,84,26,-1.0,0,31
2017-09-04,63.0,48.0,40.0,70.0,62.0,49.0,24.0,18.8,70.0,72.0,68.0,47.0,14.0,50.0,80.0,51.0,34.0,43.0,33.0,75.0,43.0,33.0,84.4,71.0,44.0,0.0,57.0,93,59,82,16,77,24,60,80,59,60,68,52,66,53,45,27,32,19,37,54,48,49,0,52,55,69,74,29,42,50,67,71,83,20,82,88,74,25,-1.0,0,64,56,71,61,71,70,23,80,72,17,30,33,-1.0,69,45,0,86,65,80,62,0,25,20,75,83,55,-1.0,0,33
